geographical-indicator	product	name	website	product-class	status	submission-date	award-registration-date	change-date	classification	origin-location	end-date
118	geographical-indicator-product:10	Teviot cheese	https://www.gov.uk/government/publications/protected-food-name-teviotdale-cheese-pgi	geographical-indicator-product-class:11	geographical-indicator-status:11		1998-01-21		geographical-indicator-classification:10	country:GB	
119	geographical-indicator-product:10	Traditional Ayrshire Dunlop cheese	https://www.gov.uk/government/publications/product-specification-traditional-ayrshire-dunlop-cheese-pgi	geographical-indicator-product-class:11	geographical-indicator-status:11		2015-04-14		geographical-indicator-classification:10	country:GB	
120	geographical-indicator-product:10	Traditional Welsh Caerphilly/traditional Welsh Caerffili cheese	https://www.gov.uk/government/publications/protected-food-name-traditional-welsh-caerphilly-and-traditional-welsh-caerffili	geographical-indicator-product-class:11	geographical-indicator-status:11		2018-01-30		geographical-indicator-classification:10	country:GB	
121	geographical-indicator-product:10	West country Farmhouse Cheddar cheese	https://www.gov.uk/government/publications/protected-food-names-west-country-farmhouse-cheddar-cheese-pdo	geographical-indicator-product-class:11	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:11	country:GB	
122	geographical-indicator-product:10	Yorkshire Wensleydale cheese	https://www.gov.uk/government/publications/protected-food-name-yorkshire-wensleydale-cheese-pgi	geographical-indicator-product-class:11	geographical-indicator-status:11		2013-12-21		geographical-indicator-classification:13	country:GB	
123		Gloucestershire cider	https://www.gov.uk/government/publications/protected-food-name-gloucestershire-cider-pgi	geographical-indicator-product-class:12 	geographical-indicator-status:11		2014-01-15		geographical-indicator-classification:10	country:GB	
124		Gloucestershire perry	https://www.gov.uk/government/publications/protected-food-name-gloucestershire-perry-pgi	geographical-indicator-product-class:12 	geographical-indicator-status:11		2013-07-24		geographical-indicator-classification:10	country:GB	
125		Herefordshire cider	https://www.gov.uk/government/publications/protected-food-name-herefordshire-cider-pgi	geographical-indicator-product-class:12 	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:10	country:GB	
126		Herefordshire perry	https://www.gov.uk/government/publications/protected-food-name-herefordshire-perry-pgi	geographical-indicator-product-class:12 	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:10	country:GB	
127		Traditional Welsh cider	https://www.gov.uk/government/publications/protected-food-name-welsh-cider	geographical-indicator-product-class:12 	geographical-indicator-status:11		2017-05-31		geographical-indicator-classification:10	country:GB	
128		Traditional Welsh perry	https://www.gov.uk/government/publications/protected-food-name-traditional-welsh-perry	geographical-indicator-product-class:12 	geographical-indicator-status:11		2017-05-31		geographical-indicator-classification:10	country:GB	
129		Worcestershire cider	https://www.gov.uk/government/publications/protected-food-name-worcestershire-cider-pgi	geographical-indicator-product-class:12 	geographical-indicator-status:11		2017-05-17		geographical-indicator-classification:10	country:GB	
130		Worcestershire perry	https://www.gov.uk/government/publications/protected-food-name-worcestershire-perry-pgi	geographical-indicator-product-class:12 	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:10	country:GB	
131	geographical-indicator-product:10	Cornish clotted cream	https://www.gov.uk/government/publications/protected-food-name-cornish-clotted-cream-pdo	geographical-indicator-product-class:15	geographical-indicator-status:11		1998-10-01		geographical-indicator-classification:11	country:GB	
132	geographical-indicator-product:10	Arbroath smokies	https://www.gov.uk/government/publications/protected-food-name-arbroath-smokies-pgi	geographical-indicator-product-class:16	geographical-indicator-status:11		2004-03-02		geographical-indicator-classification:10	country:GB	
133	geographical-indicator-product:10	Conway mussels	https://www.gov.uk/government/publications/protected-food-name-conwy-mussels-pdo	geographical-indicator-product-class:16	geographical-indicator-status:11		2016-06-17		geographical-indicator-classification:11	country:GB	
134	geographical-indicator-product:10	Cornish srdines	https://www.gov.uk/government/publications/protected-food-name-cornish-sardines-pgi	geographical-indicator-product-class:16	geographical-indicator-status:11		2009-12-03	2017-05-30	geographical-indicator-classification:10	country:GB	
135	geographical-indicator-product:10	Fal oysters	https://www.gov.uk/government/publications/protected-food-name-fal-oysters-pdo	geographical-indicator-product-class:16	geographical-indicator-status:11		2013-11-13		geographical-indicator-classification:11	country:GB	
136	geographical-indicator-product:10	Isle of Man Queenies	https://www.gov.uk/government/publications/protected-food-name-isle-of-man-queenies-pdo	geographical-indicator-product-class:16	geographical-indicator-status:11		2012-11-08		geographical-indicator-classification:11	country:GB	
137	geographical-indicator-product:10	London cure smoked salmon	https://www.gov.uk/government/publications/protected-food-name-london-cure-smoked-scottish-salmon-pgi	geographical-indicator-product-class:16	geographical-indicator-status:11		2017-04-12		geographical-indicator-classification:10	country:GB	
138	geographical-indicator-product:10	Lough Neagh Eals	https://www.gov.uk/government/publications/protected-food-name-lough-neagh-eels-pgi	geographical-indicator-product-class:16	geographical-indicator-status:11		2011-11-08		geographical-indicator-classification:10	country:GB	
139	geographical-indicator-product:10	Lough Neagh Pollan	https://www.gov.uk/government/publications/protected-food-name-lough-neagh-pollan-pdo	geographical-indicator-product-class:16	geographical-indicator-status:11		2018-04-18		geographical-indicator-classification:11	country:GB	
140	geographical-indicator-product:10	Scottish farmed salmon	https://www.gov.uk/government/publications/protected-food-name-scottish-farmed-salmon-pgi	geographical-indicator-product-class:16	geographical-indicator-status:11		2008-12-03		geographical-indicator-classification:10	country:GB	
141	geographical-indicator-product:10	Scottish wild salmon	https://www.gov.uk/government/publications/protected-food-name-scottish-wild-salmon-pgi	geographical-indicator-product-class:16	geographical-indicator-status:11		2012-12-11		geographical-indicator-classification:10	country:GB	
142	geographical-indicator-product:10	traditional Grimbsby smoked fish	https://www.gov.uk/government/publications/protected-food-name-traditional-grimsby-smoked-fish-pgi	geographical-indicator-product-class:16	geographical-indicator-status:11		2009-10-22	2013-06-19	geographical-indicator-classification:10	country:GB	
143	geographical-indicator-product:10	West Wales coracle caught salmon	https://www.gov.uk/government/publications/protected-food-name-west-wales-coracle-caught-salmon-pgi	geographical-indicator-product-class:16	geographical-indicator-status:11		2017-02-21		geographical-indicator-classification:10	country:GB	
144	geographical-indicator-product:10	West Wales coracle caught sewin	https://www.gov.uk/government/publications/protected-food-name-west-wales-coracle-caught-sewin-pgi	geographical-indicator-product-class:16	geographical-indicator-status:11		2017-03-28		geographical-indicator-classification:10	country:GB	
145	geographical-indicator-product:10	Whitstable oysters	https://www.gov.uk/government/publications/protected-food-name-whitstable-oysters-pgi	geographical-indicator-product-class:16	geographical-indicator-status:11		1997-01-24		geographical-indicator-classification:10	country:GB	
146	geographical-indicator-product:10	Isle of Man Manx Loaghtan lamb	https://www.gov.uk/government/publications/protected-food-name-isle-of-man-manx-loaghtan-lamb-pdo	geographical-indicator-product-class:10	geographical-indicator-status:11		2008-04-03		geographical-indicator-classification:11	country:GB	
147	geographical-indicator-product:10	Lakeland Herdwick meat	https://www.gov.uk/government/publications/protected-food-name-lakeland-herdwick-meat-pdo	geographical-indicator-product-class:10	geographical-indicator-status:11		2013-05-17		geographical-indicator-classification:11	country:GB	
148	geographical-indicator-product:10	Orkney beef 	https://www.gov.uk/government/publications/protected-food-names-orkney-beef-pdo	geographical-indicator-product-class:10	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:11	country:GB	
149	geographical-indicator-product:10	Orkney lamb 	https://www.gov.uk/government/publications/protected-food-name-orkney-lamb-pdo	geographical-indicator-product-class:10	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:11	country:GB	
150	geographical-indicator-product:10	Scotch beef 	https://www.gov.uk/government/publications/protected-food-name-scotch-beef-pgi	geographical-indicator-product-class:10	geographical-indicator-status:11		2004-07-01		geographical-indicator-classification:10	country:GB	
151	geographical-indicator-product:10	Scotch lamb 	https://www.gov.uk/government/publications/protected-food-name-scotch-lamb-pgi	geographical-indicator-product-class:10	geographical-indicator-status:11		2004-07-23		geographical-indicator-classification:10	country:GB	
152	geographical-indicator-product:10	Shetland lamb 	https://www.gov.uk/government/publications/protected-food-names-shetland-lamb-pdo	geographical-indicator-product-class:10	geographical-indicator-status:11		1996-11-23		geographical-indicator-classification:11	country:GB	
